Año,Mes,Región,Frecuencia 2017,Frecuencia 2018,fuente,AñoConsulta,MesConsulta,Frecuencia 2019,Frecuencia 2020,Frecuencia 2021,Frecuencia 2022,Frecuencia 2023,Frecuencia 2024,Frecuencia 2025
2023,Noviembre,Región del Biobío,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2023,Noviembre,,,,7.0,6.0,,
2023,Noviembre,Región de La Araucanía,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2023,Noviembre,,,,1.0,3.0,,
2023,Noviembre,Región de Los Ríos,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2023,Noviembre,,,,4.0,1.0,,
2023,Noviembre,Región de Los Lagos,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2023,Noviembre,,,,2.0,2.0,,
2023,Noviembre,Región de Aysén del Gral. Carlos Ibáñez del Campo,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2023,Noviembre,,,,0.0,0.0,,
2023,Noviembre,Región de Magallanes y de la Antártica Chilena,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2023,Noviembre,,,,0.0,1.0,,
2023,Diciembre,Región de Arica y Parinacota,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2023,Diciembre,,,,5.0,6.0,,
2023,Diciembre,Región de Tarapacá,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2023,Diciembre,,,,4.0,7.0,,
2023,Diciembre,Región de Antofagasta,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2023,Diciembre,,,,6.0,3.0,,
2023,Diciembre,Región de Atacama,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2023,Diciembre,,,,3.0,5.0,,
2023,Diciembre,Región de Coquimbo,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2023,Diciembre,,,,3.0,4.0,,
2023,Diciembre,Región de Valparaíso,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2023,Diciembre,,,,10.0,10.0,,
2023,Diciembre,Región Metropolitana de Santiago,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2023,Diciembre,,,,48.0,54.0,,
2023,Diciembre,Región del Libertador Gral. Bernardo O’Higgins,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2023,Diciembre,,,,2.0,3.0,,
2023,Diciembre,Región del Maule,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2023,Diciembre,,,,10.0,7.0,,
2023,Diciembre,Región de Ñuble,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2023,Diciembre,,,,1.0,1.0,,
2023,Diciembre,Región del Biobío,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2023,Diciembre,,,,15.0,6.0,,
2023,Diciembre,Región de La Araucanía,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2023,Diciembre,,,,1.0,3.0,,
2023,Diciembre,Región de Los Ríos,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2023,Diciembre,,,,1.0,1.0,,
2023,Diciembre,Región de Los Lagos,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2023,Diciembre,,,,7.0,5.0,,
2023,Diciembre,Región de Aysén del Gral. Carlos Ibáñez del Campo,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2023,Diciembre,,,,0.0,0.0,,
2023,Diciembre,Región de Magallanes y de la Antártica Chilena,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2023,Diciembre,,,,0.0,1.0,,
2024,Julio,Región de Arica y Parinacota,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2024,Julio,,,,,2.0,1.0,
2024,Julio,Región de Tarapacá,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2024,Julio,,,,,1.0,3.0,
2024,Julio,Región de Antofagasta,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2024,Julio,,,,,7.0,2.0,
2024,Julio,Región de Atacama,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2024,Julio,,,,,1.0,3.0,
2024,Julio,Región de Coquimbo,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2024,Julio,,,,,0.0,5.0,
2024,Julio,Región de Valparaíso,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2024,Julio,,,,,4.0,10.0,
2024,Julio,Región Metropolitana de Santiago,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2024,Julio,,,,,32.0,37.0,
2024,Julio,Región del Libertador Gral. Bernardo O’Higgins,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2024,Julio,,,,,4.0,5.0,
2024,Julio,Región del Maule,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2024,Julio,,,,,1.0,3.0,
2024,Julio,Región de Ñuble,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2024,Julio,,,,,2.0,1.0,
2024,Julio,Región del Biobío,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2024,Julio,,,,,8.0,11.0,
2024,Julio,Región de La Araucanía,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2024,Julio,,,,,3.0,1.0,
2024,Julio,Región de Los Ríos,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2024,Julio,,,,,2.0,0.0,
2024,Julio,Región de Los Lagos,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2024,Julio,,,,,5.0,4.0,
2024,Julio,Región de Aysén del Gral. Carlos Ibáñez del Campo,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2024,Julio,,,,,0.0,1.0,
2024,Julio,Región de Magallanes y de la Antártica Chilena,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2024,Julio,,,,,0.0,0.0,
2024,Agosto,Región de Arica y Parinacota,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2024,Agosto,,,,,1.0,2.0,
2024,Agosto,Región de Tarapacá,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2024,Agosto,,,,,1.0,1.0,
2024,Agosto,Región de Antofagasta,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2024,Agosto,,,,,5.0,3.0,
2024,Agosto,Región de Atacama,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2024,Agosto,,,,,1.0,3.0,
2024,Agosto,Región de Coquimbo,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2024,Agosto,,,,,2.0,3.0,
2024,Agosto,Región de Valparaíso,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2024,Agosto,,,,,11.0,10.0,
2024,Agosto,Región Metropolitana de Santiago,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2024,Agosto,,,,,45.0,48.0,
2024,Agosto,Región del Libertador Gral. Bernardo O’Higgins,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2024,Agosto,,,,,4.0,2.0,
2024,Agosto,Región del Maule,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2024,Agosto,,,,,5.0,3.0,
2024,Agosto,Región de Ñuble,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2024,Agosto,,,,,0.0,0.0,
2024,Agosto,Región del Biobío,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2024,Agosto,,,,,8.0,11.0,
2024,Agosto,Región de La Araucanía,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2024,Agosto,,,,,4.0,3.0,
2024,Agosto,Región de Los Ríos,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2024,Agosto,,,,,1.0,1.0,
2024,Agosto,Región de Los Lagos,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2024,Agosto,,,,,7.0,2.0,
2024,Agosto,Región de Aysén del Gral. Carlos Ibáñez del Campo,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2024,Agosto,,,,,1.0,0.0,
2024,Agosto,Región de Magallanes y de la Antártica Chilena,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2024,Agosto,,,,,0.0,1.0,
2024,Septiembre,Región de Arica y Parinacota,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2024,Septiembre,,,,,1.0,3.0,
2024,Septiembre,Región de Tarapacá,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2024,Septiembre,,,,,5.0,1.0,
2024,Septiembre,Región de Antofagasta,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2024,Septiembre,,,,,5.0,7.0,
2024,Septiembre,Región de Atacama,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2024,Septiembre,,,,,2.0,1.0,
2024,Septiembre,Región de Coquimbo,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2024,Septiembre,,,,,6.0,2.0,
2024,Septiembre,Región de Valparaíso,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2024,Septiembre,,,,,10.0,16.0,
2024,Septiembre,Región Metropolitana de Santiago,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2024,Septiembre,,,,,47.0,47.0,
2024,Septiembre,Región del Libertador Gral. Bernardo O’Higgins,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2024,Septiembre,,,,,6.0,5.0,
2024,Septiembre,Región del Maule,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2024,Septiembre,,,,,5.0,6.0,
2024,Septiembre,Región de Ñuble,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2024,Septiembre,,,,,1.0,1.0,
2024,Septiembre,Región del Biobío,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2024,Septiembre,,,,,14.0,8.0,
2024,Septiembre,Región de La Araucanía,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2024,Septiembre,,,,,0.0,5.0,
2024,Septiembre,Región de Los Ríos,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2024,Septiembre,,,,,2.0,3.0,
2024,Septiembre,Región de Los Lagos,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2024,Septiembre,,,,,5.0,0.0,
2024,Septiembre,Región de Aysén del Gral. Carlos Ibáñez del Campo,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2024,Septiembre,,,,,0.0,1.0,
2024,Septiembre,Región de Magallanes y de la Antártica Chilena,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2024,Septiembre,,,,,0.0,0.0,
2024,Octubre,Región de Arica y Parinacota,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2024,Octubre,,,,,0.0,4.0,
